l_simp_chinese:
 religion_swap.1.t:0 "State Religion"
 standardize_afghan.5.f:0 "New graduates." 
 standardize_afghan.5.a:0 "Nice."
 standardize_afghan.6.t:0 "$afghan$ Debug Menu"
 standardize_afghan.6.f:0 "While the yearly pop conversion does not take up much computational power, the added pops from the syncretic culture can. To combat the dreaded Pop-Fragmentation aka having many different culture pops in your game that cause a slow game, you can use the last option of this event to immediately convert all pops that match the criteria to $afghan$. Every subsequent yearly tick event will also have a 100% conversion rate. This will only affect this country. If you want to use it for a syncretic culture you picked for an AI you can access this menu for the other culture via the respective culture debug menu by switching to said country. This action can not be undone for this play through! However choosing this will make the game run faster than Vanilla as you effectively eliminate a lot of pop fragments."
 standardize_afghan.6.a:0 "Keep me around, just in case."
 standardize_afghan.6.b:0 "Hide this menu and decision forever."
 standardize_afghan.6.c:0 "Trigger an additional yearly conversion tick right now."
 standardize_afghan.6.d:0 "Trigger the 30/50/70 year milestone event now."
 standardize_afghan.6.e:0 "Convert all eligible pops to $afghan$."
 standardize_afghan.6.g:0 "Change state religion."
 complete_afghan_decision_not_var_custom_tooltip:0 "Has not decided to set $afghan$ conversion to 100%"
 complete_afghan_decision_var_custom_tooltip:0 "Has decided to set $afghan$ conversion to 100%"
 hide_afghan_debug_menu_var_custom_tooltip:0 "Will remove the debug menu and decision to open it"
 complete_afghan_decision:0 "Open Performance Helper Menu"
 complete_afghan_decision_desc:0 "If you have performance issues or want to fast track the 30/50/70 year milestone event."
 rule_sc_afghan:0 "Afghan Occurrence"
 setting_sc_afghan_never:0 "Never"
 setting_sc_afghan_never_desc:0 "With this setting Afghan will not automatically spawn. It can still be triggered by tag switching however."
 setting_sc_afghan_manual:0 "Manual"
 setting_sc_afghan_manual_desc:0 "With this setting Afghan will not automatically spawn unless its part of the authors choice setting and that setting is enabled. It can still be triggered by tag switching however."
 setting_sc_afghan_auto:0 "Automatic"
 setting_sc_afghan_auto_desc:0 "With this setting Afghan will always happen if the requirements are met."
 standardize_afghan_addon_hazara.1.t:0 "What about $hazara$?"
 standardize_afghan_addon_hazara.1.f:0 "Some of our advisors say that the $hazara$ culture should not be made part of our plans, be it for historical, linguistic, cultural or other reasons." 
 standardize_afghan_addon_hazara.1.a:0 "We will include them!"
 standardize_afghan_addon_hazara.1.b:0 "Perhaps its better to exclude them."
 standardize_afghan_addon_hazara_var_custom_tooltip:0 "Has decided to include the $hazara$."
 standardize_afghan_addon_hazara_not_var_custom_tooltip:0 "Has not yet decided to include the $hazara$ culture."
 standardize_afghan_addon_baluchi.1.t:0 "What about $baluchi$?"
 standardize_afghan_addon_baluchi.1.f:0 "Some of our advisors say that the $baluchi$ culture should not be made part of our plans, be it for historical, linguistic, cultural or other reasons." 
 standardize_afghan_addon_baluchi.1.a:0 "We will include them!"
 standardize_afghan_addon_baluchi.1.b:0 "Perhaps its better to exclude them."
 standardize_afghan_addon_baluchi_var_custom_tooltip:0 "Has decided to include the $baluchi$."
 standardize_afghan_addon_baluchi_not_var_custom_tooltip:0 "Has not yet decided to include the $baluchi$ culture."
 afrikaner:0 "Afrikaner"
 standardize_afrikaner_decision_var_custom_tooltip:0 "Has made the decision to develop the Afrikaner culture"
 standardize_afrikaner_decision_not_var_custom_tooltip:0 "Has not yet made the decision to develop the Afrikaner culture"
 standardize_afrikaner_decision:0 "Develop the Afrikaner Culture"
 standardize_afrikaner_decision_desc:0 "Prepare plans to eventually manifest this culture."
 je_standardize_afrikaner:0 "Develop Afrikaner"
 je_standardize_afrikaner_reason:0 "With every new generation and every annual graduation of fresh minds from our schools our newly hatched syncretic culture will venture into the world. After 30 years we shall be reviewing the new status quo!"
 standardize_afrikaner.1.t:0 "Emerging Afrikaner Culture"
 standardize_afrikaner.1.f:0 "By geographically uniting the many different cultures with each other it is now time to enter the next chapter that continues the integration of our people with each other. Be it orthography, festivities, customs or other good things that make us special, by sharing the beneficial and standardizing that which slows us down we can only multiply the great things we already have. And so, one sweet day, our people will look past the regional differences of old and first and foremost consider themselves as Afrikaner."
 standardize_afrikaner.1.a:0 "And so it shall be."
 standardize_afrikaner.2.t:0 "Yearly graduation"
 standardize_afrikaner.2.f:0 "New graduates."
 standardize_afrikaner.2.a:0 "Nice."
 standardize_afrikaner.3.t:0 "A Noticeable Cultural Change"
 standardize_afrikaner.3.f:0 "It has been many years since we have started a process that still continues in our hearts and minds. This process has changed the way we perceive ourselves and others. Each day we define ourselves less with our region and more with our great fatherland. Even better, this development has ushered in a new leading culture, a shining light, that burns especially bright in the cities."
 standardize_afrikaner.3.a:0 "A sign of progress."
 standardize_afrikaner.3.b:0 "Perhaps we should hold onto the old ways a little while longer."
 standardize_afrikaner.3.c:0 "We should push harder!"
 standardize_afrikaner.4.t:0 "Welcome To The Fold"
 standardize_afrikaner.4.f:0 "Although these regions have not been part of our transformative process from the start, now that they are part of it, we are eager to offer them the same prosperous future!" 
 standardize_afrikaner.4.a:0 "All I see is family!"
 standardize_afrikaner.5.t:0 "(Hidden) Yearly Conversion Event"
 standardize_afrikaner.5.f:0 "New graduates." 
 standardize_afrikaner.5.a:0 "Nice."
 standardize_afrikaner.6.t:0 "$afrikaner$ Debug Menu"
 standardize_afrikaner.6.f:0 "While the yearly pop conversion does not take up much computational power, the added pops from the syncretic culture can. To combat the dreaded Pop-Fragmentation aka having many different culture pops in your game that cause a slow game, you can use the last option of this event to immediately convert all pops that match the criteria to $afrikaner$. Every subsequent yearly tick event will also have a 100% conversion rate. This will only affect this country. If you want to use it for a syncretic culture you picked for an AI you can access this menu for the other culture via the respective culture debug menu by switching to said country. This action can not be undone for this play through! However choosing this will make the game run faster than Vanilla as you effectively eliminate a lot of pop fragments."
 standardize_afrikaner.6.a:0 "Keep me around, just in case."
 standardize_afrikaner.6.b:0 "Hide this menu and decision forever."
 standardize_afrikaner.6.c:0 "Trigger an additional yearly conversion tick right now."
 standardize_afrikaner.6.d:0 "Trigger the 30/50/70 year milestone event now."
 standardize_afrikaner.6.e:0 "Convert all eligible pops to $afrikaner$."
 standardize_afrikaner.6.g:0 "Change state religion."
 complete_afrikaner_decision_not_var_custom_tooltip:0 "Has not decided to set $afrikaner$ conversion to 100%"
 complete_afrikaner_decision_var_custom_tooltip:0 "Has decided to set $afrikaner$ conversion to 100%"
 hide_afrikaner_debug_menu_var_custom_tooltip:0 "Will remove the debug menu and decision to open it"
 complete_afrikaner_decision:0 "Open Performance Helper Menu"
 complete_afrikaner_decision_desc:0 "If you have performance issues or want to fast track the 30/50/70 year milestone event."
 rule_sc_afrikaner:0 "Afrikaner Occurrence"
 setting_sc_afrikaner_never:0 "Never"
 setting_sc_afrikaner_never_desc:0 "With this setting Afrikaner will not automatically spawn. It can still be triggered by tag switching however."
 setting_sc_afrikaner_manual:0 "Manual"
 setting_sc_afrikaner_manual_desc:0 "With this setting Afrikaner will not automatically spawn unless its part of the authors choice setting and that setting is enabled. It can still be triggered by tag switching however."
 setting_sc_afrikaner_auto:0 "Automatic"
 setting_sc_afrikaner_auto_desc:0 "With this setting Afrikaner will always happen if the requirements are met."
 anglosphere:0 "Anglophone"
 standardize_anglosphere_decision_var_custom_tooltip:0 "Has made the decision to develop the Anglophone culture"
 standardize_anglosphere_decision_not_var_custom_tooltip:0 "Has not yet made the decision to develop the Anglophone culture"
 standardize_anglosphere_decision:0 "Develop the Anglophone Culture"
 standardize_anglosphere_decision_desc:0 "Prepare plans to eventually manifest this culture."
 je_standardize_anglosphere:0 "Develop Anglophone"
 je_standardize_anglosphere_reason:0 "With every new generation and every annual graduation of fresh minds from our schools our newly hatched syncretic culture will venture into the world. After 30 years we shall be reviewing the new status quo!"
 standardize_anglosphere.1.t:0 "Emerging Anglophone Culture"
 standardize_anglosphere.1.f:0 "By geographically uniting the many different cultures with each other it is now time to enter the next chapter that continues the integration of our people with each other. Be it orthography, festivities, customs or other good things that make us special, by sharing the beneficial and standardizing that which slows us down we can only multiply the great things we already have. And so, one sweet day, our people will look past the regional differences of old and first and foremost consider themselves as Anglophone."
 standardize_anglosphere.1.a:0 "And so it shall be."
 standardize_anglosphere.2.t:0 "Yearly graduation"
 standardize_anglosphere.2.f:0 "New graduates."
 standardize_anglosphere.2.a:0 "Nice."
 standardize_anglosphere.3.t:0 "A Noticeable Cultural Change"
 standardize_anglosphere.3.f:0 "It has been many years since we have started a process that still continues in our hearts and minds. This process has changed the way we perceive ourselves and others. Each day we define ourselves less with our region and more with our great fatherland. Even better, this development has ushered in a new leading culture, a shining light, that burns especially bright in the cities."
 standardize_anglosphere.3.a:0 "A sign of progress."
 standardize_anglosphere.3.b:0 "Perhaps we should hold onto the old ways a little while longer."
 standardize_anglosphere.3.c:0 "We should push harder!"
 standardize_anglosphere.4.t:0 "Welcome To The Fold"
 standardize_anglosphere.4.f:0 "Although these regions have not been part of our transformative process from the start, now that they are part of it, we are eager to offer them the same prosperous future!" 
 standardize_anglosphere.4.a:0 "All I see is family!"
 standardize_anglosphere.5.t:0 "(Hidden) Yearly Conversion Event"
 standardize_anglosphere.5.f:0 "New graduates." 
 standardize_anglosphere.5.a:0 "Nice."
 standardize_anglosphere.6.t:0 "$anglosphere$ Debug Menu"
 standardize_anglosphere.6.f:0 "While the yearly pop conversion does not take up much computational power, the added pops from the syncretic culture can. To combat the dreaded Pop-Fragmentation aka having many different culture pops in your game that cause a slow game, you can use the last option of this event to immediately convert all pops that match the criteria to $anglosphere$. Every subsequent yearly tick event will also have a 100% conversion rate. This will only affect this country. If you want to use it for a syncretic culture you picked for an AI you can access this menu for the other culture via the respective culture debug menu by switching to said country. This action can not be undone for this play through! However choosing this will make the game run faster than Vanilla as you effectively eliminate a lot of pop fragments."
 standardize_anglosphere.6.a:0 "Keep me around, just in case."
 standardize_anglosphere.6.b:0 "Hide this menu and decision forever."
 standardize_anglosphere.6.c:0 "Trigger an additional yearly conversion tick right now."
 standardize_anglosphere.6.d:0 "Trigger the 30/50/70 year milestone event now."
 standardize_anglosphere.6.e:0 "Convert all eligible pops to $anglosphere$."
 standardize_anglosphere.6.g:0 "Change state religion."
 complete_anglosphere_decision_not_var_custom_tooltip:0 "Has not decided to set $anglosphere$ conversion to 100%"
 complete_anglosphere_decision_var_custom_tooltip:0 "Has decided to set $anglosphere$ conversion to 100%"
 hide_anglosphere_debug_menu_var_custom_tooltip:0 "Will remove the debug menu and decision to open it"
 complete_anglosphere_decision:0 "Open Performance Helper Menu"
 complete_anglosphere_decision_desc:0 "If you have performance issues or want to fast track the 30/50/70 year milestone event."
 rule_sc_anglosphere:0 "Anglophone Occurrence"
 setting_sc_anglosphere_never:0 "Never"
 setting_sc_anglosphere_never_desc:0 "With this setting Anglophone will not automatically spawn. It can still be triggered by tag switching however."
 setting_sc_anglosphere_manual:0 "Manual"
 setting_sc_anglosphere_manual_desc:0 "With this setting Anglophone will not automatically spawn unless its part of the authors choice setting and that setting is enabled. It can still be triggered by tag switching however."
 setting_sc_anglosphere_auto:0 "Automatic"
 setting_sc_anglosphere_auto_desc:0 "With this setting Anglophone will always happen if the requirements are met."
 standardize_anglosphere_addon_afro_american.1.t:0 "What about $afro_american$?"
 standardize_anglosphere_addon_afro_american.1.f:0 "Some of our advisors say that the $afro_american$ culture should not be made part of our plans, be it for historical, linguistic, cultural or other reasons." 
 standardize_anglosphere_addon_afro_american.1.a:0 "We will include them!"
 standardize_anglosphere_addon_afro_american.1.b:0 "Perhaps its better to exclude them."
 standardize_anglosphere_addon_afro_american_var_custom_tooltip:0 "Has decided to include the $afro_american$."
 standardize_anglosphere_addon_afro_american_not_var_custom_tooltip:0 "Has not yet decided to include the $afro_american$ culture."
 standardize_anglosphere_addon_afro_caribbean.1.t:0 "What about $afro_caribbean$?"
 standardize_anglosphere_addon_afro_caribbean.1.f:0 "Some of our advisors say that the $afro_caribbean$ culture should not be made part of our plans, be it for historical, linguistic, cultural or other reasons." 
 standardize_anglosphere_addon_afro_caribbean.1.a:0 "We will include them!"
 standardize_anglosphere_addon_afro_caribbean.1.b:0 "Perhaps its better to exclude them."
 standardize_anglosphere_addon_afro_caribbean_var_custom_tooltip:0 "Has decided to include the $afro_caribbean$."
 standardize_anglosphere_addon_afro_caribbean_not_var_custom_tooltip:0 "Has not yet decided to include the $afro_caribbean$ culture."
 arabian:0 "Arab"
 standardize_arabian_decision_var_custom_tooltip:0 "Has made the decision to develop the Arab culture"
 standardize_arabian_decision_not_var_custom_tooltip:0 "Has not yet made the decision to develop the Arab culture"
 standardize_arabian_decision:0 "Develop the Arab Culture"
 standardize_arabian_decision_desc:0 "Prepare plans to eventually manifest this culture."
 je_standardize_arabian:0 "Develop Arab"
 je_standardize_arabian_reason:0 "With every new generation and every annual graduation of fresh minds from our schools our newly hatched syncretic culture will venture into the world. After 30 years we shall be reviewing the new status quo!"
 standardize_arabian.1.t:0 "Emerging Arab Culture"
 standardize_arabian.1.f:0 "By geographically uniting the many different cultures with each other it is now time to enter the next chapter that continues the integration of our people with each other. Be it orthography, festivities, customs or other good things that make us special, by sharing the beneficial and standardizing that which slows us down we can only multiply the great things we already have. And so, one sweet day, our people will look past the regional differences of old and first and foremost consider themselves as Arab."
 standardize_arabian.1.a:0 "And so it shall be."
 standardize_arabian.2.t:0 "Yearly graduation"
 standardize_arabian.2.f:0 "New graduates."
 standardize_arabian.2.a:0 "Nice."
 standardize_arabian.3.t:0 "A Noticeable Cultural Change"
 standardize_arabian.3.f:0 "It has been many years since we have started a process that still continues in our hearts and minds. This process has changed the way we perceive ourselves and others. Each day we define ourselves less with our region and more with our great fatherland. Even better, this development has ushered in a new leading culture, a shining light, that burns especially bright in the cities."
 standardize_arabian.3.a:0 "A sign of progress."
 standardize_arabian.3.b:0 "Perhaps we should hold onto the old ways a little while longer."
 standardize_arabian.3.c:0 "We should push harder!"
 standardize_arabian.4.t:0 "Welcome To The Fold"
 standardize_arabian.4.f:0 "Although these regions have not been part of our transformative process from the start, now that they are part of it, we are eager to offer them the same prosperous future!" 
 standardize_arabian.4.a:0 "All I see is family!"
 standardize_arabian.5.t:0 "(Hidden) Yearly Conversion Event"
 standardize_arabian.5.f:0 "New graduates." 
 standardize_arabian.5.a:0 "Nice."
 standardize_arabian.6.t:0 "$arabian$ Debug Menu"
 standardize_arabian.6.f:0 "While the yearly pop conversion does not take up much computational power, the added pops from the syncretic culture can. To combat the dreaded Pop-Fragmentation aka having many different culture pops in your game that cause a slow game, you can use the last option of this event to immediately convert all pops that match the criteria to $arabian$. Every subsequent yearly tick event will also have a 100% conversion rate. This will only affect this country. If you want to use it for a syncretic culture you picked for an AI you can access this menu for the other culture via the respective culture debug menu by switching to said country. This action can not be undone for this play through! However choosing this will make the game run faster than Vanilla as you effectively eliminate a lot of pop fragments."
 standardize_arabian.6.a:0 "Keep me around, just in case."
 standardize_arabian.6.b:0 "Hide this menu and decision forever."
 standardize_arabian.6.c:0 "Trigger an additional yearly conversion tick right now."
 standardize_arabian.6.d:0 "Trigger the 30/50/70 year milestone event now."
 standardize_arabian.6.e:0 "Convert all eligible pops to $arabian$."
 standardize_arabian.6.g:0 "Change state religion."
 complete_arabian_decision_not_var_custom_tooltip:0 "Has not decided to set $arabian$ conversion to 100%"
 complete_arabian_decision_var_custom_tooltip:0 "Has decided to set $arabian$ conversion to 100%"
 hide_arabian_debug_menu_var_custom_tooltip:0 "Will remove the debug menu and decision to open it"
 complete_arabian_decision:0 "Open Performance Helper Menu"
 complete_arabian_decision_desc:0 "If you have performance issues or want to fast track the 30/50/70 year milestone event."
 rule_sc_arabian:0 "Arab Occurrence"
 setting_sc_arabian_never:0 "Never"
 setting_sc_arabian_never_desc:0 "With this setting Arab will not automatically spawn. It can still be triggered by tag switching however."
 setting_sc_arabian_manual:0 "Manual"
 setting_sc_arabian_manual_desc:0 "With this setting Arab will not automatically spawn unless its part of the authors choice setting and that setting is enabled. It can still be triggered by tag switching however."
 setting_sc_arabian_auto:0 "Automatic"
 setting_sc_arabian_auto_desc:0 "With this setting Arab will always happen if the requirements are met."
 standardize_arabian_addon_haratin.1.t:0 "What about $haratin$?"
 standardize_arabian_addon_haratin.1.f:0 "Some of our advisors say that the $haratin$ culture should not be made part of our plans, be it for historical, linguistic, cultural or other reasons." 
 standardize_arabian_addon_haratin.1.a:0 "We will include them!"
 standardize_arabian_addon_haratin.1.b:0 "Perhaps its better to exclude them."
 standardize_arabian_addon_haratin_var_custom_tooltip:0 "Has decided to include the $haratin$."
 standardize_arabian_addon_haratin_not_var_custom_tooltip:0 "Has not yet decided to include the $haratin$ culture."
 standardize_arabian_addon_tuareg.1.t:0 "What about $tuareg$?"
 standardize_arabian_addon_tuareg.1.f:0 "Some of our advisors say that the $tuareg$ culture should not be made part of our plans, be it for historical, linguistic, cultural or other reasons." 
 standardize_arabian_addon_tuareg.1.a:0 "We will include them!"
 standardize_arabian_addon_tuareg.1.b:0 "Perhaps its better to exclude them."
 standardize_arabian_addon_tuareg_var_custom_tooltip:0 "Has decided to include the $tuareg$."
 standardize_arabian_addon_tuareg_not_var_custom_tooltip:0 "Has not yet decided to include the $tuareg$ culture."
 standardize_arabian_addon_bidan.1.t:0 "What about $bidan$?"
 standardize_arabian_addon_bidan.1.f:0 "Some of our advisors say that the $bidan$ culture should not be made part of our plans, be it for historical, linguistic, cultural or other reasons." 
 standardize_arabian_addon_bidan.1.a:0 "We will include them!"
 standardize_arabian_addon_bidan.1.b:0 "Perhaps its better to exclude them."
 standardize_arabian_addon_bidan_var_custom_tooltip:0 "Has decided to include the $bidan$."
 standardize_arabian_addon_bidan_not_var_custom_tooltip:0 "Has not yet decided to include the $bidan$ culture."
 austro_hungarian:0 "Danubian"
 standardize_austro_hungarian_decision_var_custom_tooltip:0 "Has made the decision to develop the Danubian culture"
 standardize_austro_hungarian_decision_not_var_custom_tooltip:0 "Has not yet made the decision to develop the Danubian culture"
 standardize_austro_hungarian_decision:0 "Develop the Danubian Culture"
 standardize_austro_hungarian_decision_desc:0 "Prepare plans to eventually manifest this culture."
 je_standardize_austro_hungarian:0 "Develop Danubian"
 je_standardize_austro_hungarian_reason:0 "With every new generation and every annual graduation of fresh minds from our schools our newly hatched syncretic culture will venture into the world. After 30 years we shall be reviewing the new status quo!"
 standardize_austro_hungarian.1.t:0 "Emerging Danubian Culture"
 standardize_austro_hungarian.1.f:0 "By geographically uniting the many different cultures with each other it is now time to enter the next chapter that continues the integration of our people with each other. Be it orthography, festivities, customs or other good things that make us special, by sharing the beneficial and standardizing that which slows us down we can only multiply the great things we already have. And so, one sweet day, our people will look past the regional differences of old and first and foremost consider themselves as Danubian."
 standardize_austro_hungarian.1.a:0 "And so it shall be."
 standardize_austro_hungarian.2.t:0 "Yearly graduation"
 standardize_austro_hungarian.2.f:0 "New graduates."
 standardize_austro_hungarian.2.a:0 "Nice."
 standardize_austro_hungarian.3.t:0 "A Noticeable Cultural Change"
 standardize_austro_hungarian.3.f:0 "It has been many years since we have started a process that still continues in our hearts and minds. This process has changed the way we perceive ourselves and others. Each day we define ourselves less with our region and more with our great fatherland. Even better, this development has ushered in a new leading culture, a shining light, that burns especially bright in the cities."
 standardize_austro_hungarian.3.a:0 "A sign of progress."
 standardize_austro_hungarian.3.b:0 "Perhaps we should hold onto the old ways a little while longer."
 standardize_austro_hungarian.3.c:0 "We should push harder!"
 standardize_austro_hungarian.4.t:0 "Welcome To The Fold"
 standardize_austro_hungarian.4.f:0 "Although these regions have not been part of our transformative process from the start, now that they are part of it, we are eager to offer them the same prosperous future!" 
 standardize_austro_hungarian.4.a:0 "All I see is family!"
 standardize_austro_hungarian.5.t:0 "(Hidden) Yearly Conversion Event"
 standardize_austro_hungarian.5.f:0 "New graduates." 
 standardize_austro_hungarian.5.a:0 "Nice."
 standardize_austro_hungarian.6.t:0 "$austro_hungarian$ Debug Menu"
 standardize_austro_hungarian.6.f:0 "While the yearly pop conversion does not take up much computational power, the added pops from the syncretic culture can. To combat the dreaded Pop-Fragmentation aka having many different culture pops in your game that cause a slow game, you can use the last option of this event to immediately convert all pops that match the criteria to $austro_hungarian$. Every subsequent yearly tick event will also have a 100% conversion rate. This will only affect this country. If you want to use it for a syncretic culture you picked for an AI you can access this menu for the other culture via the respective culture debug menu by switching to said country. This action can not be undone for this play through! However choosing this will make the game run faster than Vanilla as you effectively eliminate a lot of pop fragments."
 standardize_austro_hungarian.6.a:0 "Keep me around, just in case."
 standardize_austro_hungarian.6.b:0 "Hide this menu and decision forever."
 standardize_austro_hungarian.6.c:0 "Trigger an additional yearly conversion tick right now."
 standardize_austro_hungarian.6.d:0 "Trigger the 30/50/70 year milestone event now."
 standardize_austro_hungarian.6.e:0 "Convert all eligible pops to $austro_hungarian$."
 standardize_austro_hungarian.6.g:0 "Change state religion."
 complete_austro_hungarian_decision_not_var_custom_tooltip:0 "Has not decided to set $austro_hungarian$ conversion to 100%"
 complete_austro_hungarian_decision_var_custom_tooltip:0 "Has decided to set $austro_hungarian$ conversion to 100%"
 hide_austro_hungarian_debug_menu_var_custom_tooltip:0 "Will remove the debug menu and decision to open it"
 complete_austro_hungarian_decision:0 "Open Performance Helper Menu"
 complete_austro_hungarian_decision_desc:0 "If you have performance issues or want to fast track the 30/50/70 year milestone event."
 rule_sc_austro_hungarian:0 "Danubian Occurrence"
 setting_sc_austro_hungarian_never:0 "Never"
 setting_sc_austro_hungarian_never_desc:0 "With this setting Danubian will not automatically spawn. It can still be triggered by tag switching however."
 setting_sc_austro_hungarian_manual:0 "Manual"
 setting_sc_austro_hungarian_manual_desc:0 "With this setting Danubian will not automatically spawn unless its part of the authors choice setting and that setting is enabled. It can still be triggered by tag switching however."
 setting_sc_austro_hungarian_auto:0 "Automatic"
 setting_sc_austro_hungarian_auto_desc:0 "With this setting Danubian will always happen if the requirements are met."
 standardize_austro_hungarian_addon_ukrainian.1.t:0 "What about $ukrainian$?"
 standardize_austro_hungarian_addon_ukrainian.1.f:0 "Some of our advisors say that the $ukrainian$ culture should not be made part of our plans, be it for historical, linguistic, cultural or other reasons." 
 standardize_austro_hungarian_addon_ukrainian.1.a:0 "We will include them!"
 standardize_austro_hungarian_addon_ukrainian.1.b:0 "Perhaps its better to exclude them."
 standardize_austro_hungarian_addon_ukrainian_var_custom_tooltip:0 "Has decided to include the $ukrainian$."
 standardize_austro_hungarian_addon_ukrainian_not_var_custom_tooltip:0 "Has not yet decided to include the $ukrainian$ culture."
 standardize_austro_hungarian_addon_slovene.1.t:0 "What about $slovene$?"
 standardize_austro_hungarian_addon_slovene.1.f:0 "Some of our advisors say that the $slovene$ culture should not be made part of our plans, be it for historical, linguistic, cultural or other reasons." 
 standardize_austro_hungarian_addon_slovene.1.a:0 "We will include them!"
